Category,Calcium,Carbohydrate,Fiber,VitaminA,Sugar_Level,Fat_Level,Protein_Level
Beef stroganoff with noodles,29.0,8.84,0.7,19.0,Low,Medium,Medium
Stewed pig's feet,12.0,4.13,0.5,59.0,Low,Medium,Medium
Chicken or turkey and noodles with gravy,12.0,15.23,0.7,5.0,Low,Medium,Medium
Shrimp and noodles with gravy,23.0,14.7,0.6,17.0,Low,Medium,Medium
Shrimp cake or patty,78.0,3.67,0.2,82.0,Low,Medium,High
Fish and noodles with mushroom sauce,24.0,14.79,0.8,11.0,Low,Medium,Medium
Shellfish and noodles with tomato-based sauce,23.0,15.74,1.1,29.0,Low,Medium,Medium
Stuffed green pepper,45.0,15.56,2.1,17.0,Low,Medium,Medium
Pork chow mein or chop suey with noodles,20.0,11.17,1.5,8.0,Low,Medium,Medium
Veal stew with potatoes and vegetables excluding carrots,15.0,8.53,1.4,5.0,Low,Low,Medium
Venison or deer,13.5,12.967500000000001,1.4,44.75,Low,Medium,Medium
Chicken fricassee,18.0,7.13,1.2,20.0,Low,Medium,Medium
Stew,14.0,8.24,1.2,41.0,Low,Low,Medium
Swiss steak,63.0,8.825,2.45,19.0,Low,Medium,Medium
Szechuan beef,22.0,7.29,1.5,63.0,Low,Medium,Medium
Beef chow mein or chop suey,22.0,3.85,0.8,10.0,Low,Low,Medium
Stir fried beef and vegetables in soy sauce,24.0,4.25,0.9,23.0,Low,Low,Medium
Oysters Rockefeller,106.0,9.27,1.9,275.0,Low,Medium,Medium
Shrimp and vegetables including carrots,52.5,4.545,1.4500000000000002,212.0,Low,Medium,Medium
Octopus salad,44.0,5.56,1.0,38.0,Low,Medium,Medium
Wrap sandwich,56.5,13.64,1.45,96.5,Low,Medium,Medium
Whopper Jr with cheese (Burger King),183.0,18.89,0.9,44.0,Low,Medium,Medium
Cheeseburger (McDonalds),123.0,25.46,1.9,55.0,Medium,Medium,Medium
Quarter Pounder with cheese (McDonalds),179.0,19.72,1.2,51.0,Low,Medium,High
Big Mac (McDonalds),127.0,21.53,1.4,27.0,Low,Medium,Medium
Hamburger (McDonalds),116.0,29.57,1.8,3.0,Medium,Medium,Medium
Ham on biscuit,142.0,38.75,0.7,27.0,Low,Medium,Medium
Sirloin,15.0,12.71,1.5,48.0,Low,Medium,Medium
Turkey dinner,27.0,16.32,1.3,44.0,Low,Low,Medium
Pork with vegetable excluding carrots,22.0,2.78,0.8,8.0,Low,Low,Medium
Hot and sour soup,19.0,4.35,0.5,9.0,Low,Low,Low
Chicken or turkey soup,28.333333333333332,5.0183333333333335,0.10000000000000002,27.166666666666668,Low,Low,Low
Egg casserole with bread,144.0,10.18,0.4,80.0,Low,Medium,Medium
Lima beans,24.2,19.078000000000003,5.7,10.0,Low,Low,Medium
Layer dip,142.0,6.53,2.1,78.0,Low,Medium,Medium
Beans with meat,35.0,20.56,7.1,1.0,Low,Medium,Medium
Sambar,19.0,11.8,4.0,7.0,Low,Low,Low
Soy sauce,31.5,5.26,0.75,0.0,Low,Low,Medium
Cashews,42.166666666666664,33.95666666666667,2.7833333333333337,0.0,Medium,High,Medium
Walnuts,82.5,22.32,5.6,1.0,Medium,High,Medium
Brioche,45.0,35.84,1.5,243.0,Low,High,Medium
Bread stuffing made with egg,32.0,17.75,0.8,117.0,Low,Medium,Low
Breadsticks,113.16666666666667,51.41416666666666,3.4166666666666665,20.666666666666668,Low,Medium,Medium
Johnnycake,104.0,43.77,1.8,42.0,Medium,Medium,Medium
Ice cream cake,95.0,39.9,0.5,75.0,High,Medium,Low
Cream puff,39.4,24.991999999999997,0.68,163.2,Medium,Medium,Medium
Nutrition bar (Tiger's Milk),429.0,56.46,2.3,1.0,High,Medium,High
Fried bread,53.0,41.73,0.5,37.0,High,Medium,Medium
Cereal,117.68181818181819,73.09454545454545,5.309090909090911,557.7272727272727,High,Low,Medium
Oat bran cereal,14.0,12.146666666666667,2.8333333333333335,10.0,Low,Low,Low
Cereal (Post Cocoa Pebbles),22.0,85.7,1.6,776.0,High,Low,Low
Cereal (Kellogg's Cracklin' Oat Bran),59.0,70.3,12.7,244.0,High,Medium,Medium
Cereal (General Mills Fiber One Honey Clusters),192.0,83.9,19.0,0.0,High,Low,Medium
Cereal (Post Honey Bunches of Oats Honey Roasted),23.0,81.19,4.2,806.0,High,Medium,Medium
Cereal (Post Honeycomb),11.0,86.63,3.2,678.0,High,Low,Medium
Cereal (Kashi Autumn Wheat),29.0,79.0,11.2,0.0,Medium,Low,Medium
Cereal (General Mills Cheerios Oat Cluster Crunch),296.0,80.7,7.0,554.0,High,Low,Medium
Cereal (Nature's Path Organic Flax Plus),55.0,75.27,16.6,0.0,Medium,Medium,Medium
Cereal (Kellogg's Rice Krispies),5.0,85.05,0.4,1136.0,Medium,Low,Medium
Brown rice cereal,55.0,85.98,6.5,0.0,Low,Low,Medium
Enchilada with meat and beans,81.0,12.92,2.7,21.5,Low,Medium,Medium
Enchilada with chicken,83.0,11.335,2.25,25.0,Low,Medium,Medium
Soft taco with meat,116.0,19.923333333333332,2.466666666666667,33.0,Low,Medium,Medium
Soft taco with fish,125.0,21.23,2.0,40.0,Low,Medium,Medium
Taco or tostada with meat and beans,88.0,19.740000000000002,3.55,25.5,Low,Medium,Medium
Taquito or flauta with meat,97.0,33.46,2.8,35.0,Low,Medium,Medium
Pizza with beans and vegetables,172.0,27.045,3.05,52.0,Low,Medium,Medium
White pizza,218.875,25.9325,1.125,57.25,Low,Medium,Medium
Breakfast pizza with egg,237.0,25.6,1.1,76.0,Low,Medium,Medium
Codfish fritter,83.0,35.98,1.3,1.0,Low,Medium,High
Chicken cornbread,18.0,9.34,0.4,69.0,Low,Medium,Medium
Chow fun noodles with meat and vegetables,16.0,11.51,0.9,6.0,Low,Low,Medium
Pad Thai,43.5,15.364999999999998,1.5,17.0,Low,Medium,Medium
Adobo,16.5,8.52,0.30000000000000004,4.0,Low,Medium,High
Spaghetti with corned beef,74.0,17.22,1.1,18.0,Low,Medium,Medium
Macaroni or noodles with cheese and chicken or turkey,44.0,14.82,0.7,52.0,Low,Medium,Medium
Pasta with cream sauce and added vegetables,29.0,16.55333333333333,1.0666666666666667,61.0,Low,Medium,Low
Macaroni or noodles,26.0,19.61,1.15,47.5,Low,Medium,Medium
Sushi,13.571428571428571,14.457142857142856,0.6571428571428573,75.57142857142857,Low,Low,Medium
Rice with stewed beans,25.0,23.02,1.5,0.0,Low,Low,Low
Black beans and rice,19.0,23.66,4.9,0.0,Low,Medium,Medium
Vada,24.0,33.25,5.8,5.0,Low,Medium,Medium
Pancakes and sausage,48.0,27.69,0.6,81.0,Medium,Medium,Medium
Noodle and potato soup,12.0,6.48,0.8,48.0,Low,Low,Low
Matzo ball soup,14.0,7.74,0.5,47.0,Low,Low,Low
Sopa seca,16.0,18.26,1.1,33.0,Low,Medium,Low
Macaroni,15.666666666666666,9.426666666666668,1.1666666666666667,39.666666666666664,Low,Low,Low
Guava nectar,8.0,13.3,1.2,2.0,Medium,Low,Low
Bananas with orange,0.0,20.41,2.1,28.0,Medium,Low,Low
Banana with mixed berries,0.0,21.31,1.0,3.0,Medium,Low,Low
Apple-banana juice,7.0,12.3,0.2,0.0,Medium,Low,Low
Apple-prune juice,9.0,18.1,0.1,1.0,Medium,Low,Low
Pear juice,12.0,11.86,0.1,0.0,Medium,Low,Low
Fruit juice and water drink,71.0,7.35,0.0,0.0,Medium,Low,Low
Cherry vanilla pudding,5.0,18.1,0.3,18.0,Medium,Low,Low
Potato from Puerto Rican beef stew,7.0,14.45,1.3,0.0,Low,Low,Low
Potato skins,138.66666666666666,16.066666666666666,1.4666666666666668,58.333333333333336,Low,Medium,Medium
Dasheen,45.0,27.55,4.3,15.0,Low,Low,Low
Collards,195.0,5.175714285714285,2.942857142857143,357.85714285714283,Low,Low,Low
Escarole,45.0,2.98,2.7,102.0,Low,Low,Low
Lambsquarter,250.0,4.85,2.0,389.0,Low,Low,Low
Taro leaves,112.0,6.98,3.9,250.0,Low,Low,Medium
Thistle leaves,85.0,5.73,1.1,354.0,Low,Low,Low
Turnip greens,129.25,3.6762499999999996,2.3500000000000005,377.5,Low,Low,Low
Sweet potato,31.384615384615383,19.382692307692306,2.6500000000000004,757.9230769230769,Medium,Low,Low
Dark-green leafy vegetable soup,31.0,6.56,1.2,56.0,Low,Low,Low
Salsa,23.75,5.98,1.625,24.25,Low,Low,Low
Tomato vegetable soup,8.0,7.72,0.6,10.0,Low,Low,Low
Leek,60.5,14.445,1.85,88.5,Low,Low,Low
Seaweed,173.0,17.483999999999998,1.6600000000000001,74.4,Low,Low,Medium
Turnip,29.666666666666668,7.773333333333333,1.7333333333333334,4.0,Medium,Low,Low
Pimiento,7.0,6.24,2.3,163.0,Low,Low,Low
Classic mixed vegetables,23.571428571428573,10.459999999999999,3.157142857142857,188.85714285714286,Low,Low,Low
Jai,54.0,8.45,1.4,0.0,Low,Low,Low
Zucchini,15.0,7.44,0.8,8.0,Medium,Low,Low
Seaweed soup,42.0,2.4,0.2,6.0,Low,Low,Low
Cassava Pasteles,26.0,18.96,1.3,9.0,Low,Medium,Medium
Margarine-oil blend,11.4,0.9719999999999999,0.0,1023.4,Low,High,Low
Pesto sauce,207.0,5.78,1.0,91.0,Low,High,Medium
Sesame oil,0.0,0.0,0.0,0.0,Low,High,Low
Honey mustard dressing,34.333333333333336,30.00666666666667,0.8000000000000002,6.0,High,Medium,Low
Dessert dip,82.0,22.88,0.0,174.0,High,Medium,Medium
Gelatin dessert with fruit,3.0,13.34,0.2,2.0,Medium,Low,Low
Caramel,105.0,76.92250000000001,0.32499999999999996,6.0,High,Medium,Low
Date candy,79.0,58.1,7.1,1.0,High,Medium,Low
Yogurt covered fruit snacks candy,500.0,86.9,0.2,1.0,High,Medium,Low
Marshmallow,4.666666666666667,81.39333333333333,0.6333333333333334,0.0,High,Low,Low
Peanut bar,78.0,47.4,4.1,0.0,High,High,High
Truffles,167.0,49.64,2.8,126.0,High,High,Medium
Tea,5.951219512195122,6.174878048780489,0.22926829268292678,0.7073170731707317,Low,Low,Low
Soft drink,2.814814814814815,5.423333333333334,0.0,0.0,Medium,Low,Low
Sugar cane beverage,7.0,20.17,0.0,0.0,High,Low,Low
Beer,4.8,1.392,0.0,0.0,Low,Low,Low
Vodka and lemonade,1.0,9.02,0.0,0.0,Medium,Low,Low
Stinger,0.0,11.89,0.0,0.0,Medium,Low,Low
Vodka,0.0,0.0,0.0,0.0,Low,Low,Low
Energy drink (No Fear),0.0,15.0,0.0,0.0,Medium,Low,Low
Sports drink (Powerade),1.0,7.84,0.0,0.0,Medium,Low,Low
Ice cream cookie sandwich,70.0,43.35,1.7,65.0,High,Medium,Low
Light ice cream,145.33333333333334,25.706666666666667,0.4000000000000001,95.66666666666667,Medium,Medium,Low
Pudding,92.07142857142857,18.315714285714282,0.21428571428571427,31.5,Medium,Low,Low
Mousse,103.0,16.25,0.6,158.0,High,Medium,Low
Queso Anejo,680.0,4.63,0.0,64.0,Low,High,High
Topping from meat and vegetable pizza,286.0,7.66,1.0,98.0,Low,High,High
Cheddar cheese soup,80.0,8.12,1.1,64.0,Low,Low,Low
Pork bacon,11.0,1.565,0.0,11.0,Low,High,High
Meat stick,34.0,1.1,0.2,21.0,Low,Medium,Medium
Lamb,17.4375,0.430625,0.0625,1.25,Low,Medium,High
Goat,17.0,0.0,0.0,0.0,Low,Low,High
Squirrel,3.0,0.0,0.0,0.0,Low,Low,High
Chicken tenders or strips,24.333333333333332,17.60833333333333,1.4833333333333334,6.0,Low,Medium,High
Beef liver,6.0,5.105,0.0,8521.0,Low,Low,High
Pepperoni,20.666666666666668,1.0266666666666666,0.0,3.6666666666666665,Low,High,High
Salami,29.333333333333332,0.9966666666666667,0.03333333333333333,8.0,Low,High,High
Barracuda,39.142857142857146,5.1085714285714285,0.2571428571428571,22.142857142857142,Low,Medium,High
Catfish,29.58823529411765,7.481764705882352,0.39999999999999997,24.058823529411764,Low,Medium,High
Beef stroganoff,38.0,5.99,0.7,26.0,Low,Medium,Medium
Stewed seasoned ground beef,23.5,2.605,0.6,9.5,Low,High,Medium
Stewed pork,21.0,2.77,0.7,8.0,Low,Medium,High
Chicken with gravy,13.0,1.58,0.0,6.0,Low,Medium,High
Chicken curry,20.0,6.47,1.4,48.0,Low,Medium,Medium
Sardines with tomato-based sauce,240.0,0.54,0.1,34.0,Low,Medium,High
Meat with barbecue sauce,21.0,12.74,0.3,3.0,Medium,Medium,High
Ham or pork with stuffing,21.0,10.43,0.4,63.0,Low,Medium,Medium
Shrimp and noodles with cheese sauce,106.0,13.45,0.6,38.0,Low,Medium,Medium
Fish and rice with mushroom sauce,23.0,16.12,0.4,8.0,Low,Medium,Medium
Lamb or mutton stew with potatoes and vegetables including carrots,13.5,11.66,1.7999999999999998,48.5,Low,Low,Medium
Veal fricassee,15.0,7.24,1.2,7.0,Low,Medium,High
Chicken or turkey pot pie,20.0,19.21,1.1,34.0,Low,Medium,Medium
Greens with ham or pork,205.0,4.68,3.6,222.0,Low,Low,Low
Pork and watercress with soy-based sauce,24.0,3.46,0.5,4.0,Low,Medium,Medium
Sausage and vegetables,16.0,6.94,1.6,22.0,Low,Medium,Medium
Pork chop stewed with vegetables,26.0,5.22,1.3,9.0,Low,Low,Medium
Veal goulash with vegetables excluding carrots,9.0,2.79,0.4,5.0,Low,Low,Medium
Moo Goo Gai Pan,10.0,4.69,1.2,10.0,Low,Low,Medium
Chicken or turkey salad with nuts and/or fruits,31.0,5.95,1.1,13.0,Low,Medium,Medium
Crab salad,57.0,1.19,0.4,9.0,Low,Medium,Medium
Shrimp chow mein or chop suey,48.0,4.27,0.8,40.0,Low,Low,Medium
Tuna salad with cheese,86.0,2.78,0.4,49.0,Low,Medium,Medium
Shellfish mixture and vegetables including carrots,48.0,5.98,1.2000000000000002,166.5,Low,Medium,Medium
Lau lau,14.0,0.0,0.0,5.0,Low,Medium,High
Hamburger (Burger King),80.0,25.98,1.1,2.0,Low,Medium,Medium
Fish sandwich,135.0,23.964444444444446,1.4111111111111112,27.88888888888889,Low,Medium,High
Chicken chow mein with rice,14.0,12.11,0.7,5.0,Low,Low,Medium
Egg salad,41.875,2.58,0.0,119.5,Low,Medium,Medium
Meringues,5.0,74.24,0.0,0.0,High,Low,Medium
Egg substitute,113.0,2.1566666666666667,0.1111111111111111,57.77777777777778,Low,Medium,Medium
Soybeans,95.0,7.77,5.6,0.0,Low,Medium,High
Bean dip,26.0,15.89,4.9,0.0,Low,Low,Medium
Lentils,18.25,19.0225,7.45,0.0,Low,Medium,Medium
Edamame,61.0,8.63,5.0,25.0,Low,Medium,Medium
Natto,217.0,12.68,5.4,0.0,Low,Medium,High
Pea and ham soup,14.0,11.17,1.7,102.0,Low,Low,Low
Lentil soup,12.0,8.82,3.2,20.0,Low,Low,Low
Pistachio nuts,104.5,27.542499999999997,10.025,12.75,Medium,High,High
Pumpkin seeds,52.0,14.653333333333334,6.466666666666666,0.0,Low,High,High
Croissant,40.5,47.309999999999995,2.875,192.0,Medium,High,Medium
Bagel,102.5,50.33285714285713,3.6142857142857148,0.0,Medium,Low,Medium
Muffin,136.66666666666666,46.21424242424243,3.190909090909091,28.333333333333332,Medium,Medium,Medium
Biscuit with fruit,69.0,46.47,2.7,16.0,Medium,Medium,Medium
Cornbread,169.0,48.555,1.9,38.0,Medium,Medium,Medium
Cheesecake with fruit,37.0,18.62,1.0,98.0,High,Medium,Low
Turnover,119.2,27.85333333333333,1.606666666666667,42.46666666666667,Medium,Medium,Medium
Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),576.0,67.61,3.0,604.0,High,Medium,Low
Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),417.0,69.4,3.1,0.0,High,Medium,Medium
Cereal or Granola bar,61.0,64.4,5.3,2.0,High,Medium,Medium
Nutrition bar (South Beach Living Meal Bar),668.0,60.21,5.1,940.0,High,Medium,High
Tortilla chips,138.1,69.81500000000001,5.12,3.7,Low,Medium,Medium
Cracker chips,20.0,67.26,8.8,3.0,Medium,High,Medium
French toast,130.66666666666666,30.755000000000006,2.025,79.0,Medium,Medium,Medium
Funnel cake with sugar,138.0,43.14,1.0,63.0,High,Medium,Medium
Buckwheat groats,7.333333333333333,19.569999999999997,2.6666666666666665,12.666666666666666,Low,Low,Low
Grits,102.875,14.94625,0.7666666666666667,46.916666666666664,Low,Low,Low
Cereal (Post Great Grains,40.0,76.6,11.1,467.0,High,Medium,Medium
Cereal (General Mills Cheerios Frosted),370.0,79.8,7.5,554.0,High,Low,Medium
Cereal (Malt-O-Meal Cocoa Dyno-Bites),17.0,87.93,1.1,776.0,High,Low,Low
Cereal (Kellogg's Raisin Bran Crunch),35.0,84.9,8.0,283.0,High,Low,Medium
Cereal (General Mills Chex Rice),370.0,85.09,2.0,556.0,Medium,Low,Medium
Cereal (Kellogg's Smorz),70.0,87.2,3.8,1324.0,High,Low,Low
Cereal (General Mills Wheaties),74.0,83.3,10.1,554.0,High,Low,Medium
Burrito with chicken and sour cream,218.0,14.6,1.1,67.0,Low,Medium,Medium
Soft taco with chicken and beans,110.0,21.29,2.6,30.0,Low,Medium,Medium
Taco or tostada salad with meat and sour cream,87.0,14.93,2.5,42.0,Low,Medium,Medium
Pizza with cheese and extra vegetables,176.0,27.176666666666666,2.1333333333333333,57.333333333333336,Low,Medium,Medium
Cheese turnover,261.0,36.92,1.3,67.0,Low,High,Medium
Spinach quiche,243.0,11.61,1.2,325.0,Low,High,Medium
Lasagna,214.33333333333334,14.066666666666668,1.3333333333333333,85.0,Low,Medium,Medium
Stuffed shells,107.0,18.253333333333334,0.9833333333333334,75.66666666666667,Low,Medium,Medium
Pad Thai with seafood,33.0,15.06,1.2,30.0,Low,Medium,Medium
Macaroni or noodles with cheese and meat,50.5,12.715,0.5,38.0,Low,Medium,Medium
Macaroni or pasta salad,11.666666666666666,23.424444444444447,1.522222222222222,30.555555555555557,Low,Low,Low
Soupy rice with chicken,21.0,16.49,1.4,20.0,Low,Low,Medium
Beans and rice,33.666666666666664,23.28333333333333,3.9333333333333336,1.6666666666666667,Low,Low,Medium
Rice croquette,30.0,19.97,0.9,26.0,Low,Medium,Low
Flavored rice and pasta mixture,13.5,18.2,0.44999999999999996,32.5,Low,Low,Low
Rice soup,22.0,5.8,0.5,13.0,Low,Low,Low
Macaroni with beef and tomato sauce,12.0,11.53,1.1,3.0,Low,Low,Low
Meat substitute,60.0,61.87,9.0,0.0,Low,Medium,Medium
Lemon,26.0,9.32,2.8,1.0,Low,Low,Low
Orange juice,56.0,13.719999999999999,0.35000000000000003,5.0,Medium,Low,Low
Tangerine juice,18.0,10.1,0.2,12.0,Medium,Low,Low
Blueberries,11.0,35.553333333333335,4.2,4.0,High,Low,Low
Papaya,29.666666666666668,33.11666666666667,2.5,46.333333333333336,High,Low,Low
Banana,9.0,27.549999999999997,2.7,15.0,High,Low,Low
Cassaba melon,11.0,6.58,0.9,0.0,Medium,Low,Low
Kiwi fruit,35.0,14.0,3.0,4.0,Medium,Low,Low
Rhubarb,73.0,17.45,1.6,4.0,Medium,Low,Low
Watermelon,7.0,7.55,0.4,28.0,Medium,Low,Low
Apple salad with dressing,16.0,12.15,2.1,6.0,Medium,Medium,Low
Guacamole with tomatoes,12.0,8.09,6.1,10.0,Low,Medium,Low
Frozen fruit juice bar,3.5,16.375,0.3,0.5,Medium,Low,Low
Papaya juice,10.0,14.51,0.6,18.0,Medium,Low,Low
Applesauce and apricots,6.0,12.020000000000001,1.8,9.666666666666666,Medium,Low,Low
Banana apple dessert,3.0,16.3,1.0,2.0,Medium,Low,Low
Peach yogurt dessert,27.0,17.6,0.4,1.0,Medium,Low,Low
Tutti-fruitti pudding,14.333333333333334,15.74,0.5,8.333333333333334,Medium,Low,Low
Fruit flavored snack,12.0,86.68,0.0,0.0,High,Low,Low
Vegetable chips,66.0,59.2,7.8,53.0,Medium,High,Low
Potato tots,12.571428571428571,23.907142857142855,2.2285714285714286,0.0,Low,Medium,Low
Yuca fries,15.0,34.72,1.6,1.0,Low,Medium,Low
Sweet potato fries,46.75,30.67375,4.9375,531.0,Medium,Medium,Low
Tomato,12.0,9.09,0.9,25.0,Medium,Low,Low
Enchilada sauce,8.0,5.615,1.2,23.5,Low,Low,Low
Spaghetti sauce,22.666666666666668,7.14,1.7,29.0,Low,Low,Low
Alfalfa sprouts,32.0,2.1,1.9,8.0,Low,Low,Low
Asparagus,20.5,2.9535714285714283,1.8357142857142859,46.785714285714285,Low,Low,Low
Seven-layer salad,60.0,5.66,1.3,57.0,Low,High,Low
Artichokes,52.5,16.91,4.7,13.0,Low,Low,Low
Lotus root,26.0,15.51,3.0,11.0,Low,Low,Low
Peppers,9.333333333333334,6.626666666666666,1.7666666666666666,81.0,Low,Low,Low
Salsify,46.0,14.88,3.0,11.0,Low,Low,Low
Eggplant with cheese and tomato sauce,164.0,6.34,2.2,50.0,Low,Low,Medium
Onion soup,73.66666666666667,8.883333333333333,0.5,27.666666666666668,Low,Low,Low
Peanut oil,0.0,0.0,0.0,0.0,Low,High,Low
Blue or roquefort cheese dressing,59.0,11.090000000000002,0.7333333333333334,6.333333333333333,Low,Medium,Low
Mayonnaise,5.0,6.4,0.5,8.5,Low,High,Low
Creamy dressing,23.333333333333332,10.966666666666667,0.0,9.0,Medium,High,Low
Korean dressing or marinade,17.0,12.8,0.5,0.0,Medium,High,Low
Sugar,31.4,99.06599999999999,0.74,0.2,High,Low,Low
Caramel with nuts and cereal,73.0,61.51,2.4,31.0,High,High,Medium
3 Musketeers Truffle Crisp Bar,150.0,63.15,0.0,46.0,High,High,Medium
Pralines,106.0,77.74,1.1,21.0,High,Medium,Low
Vegetable and fruit juice drink,6.333333333333333,3.223333333333333,0.0,104.66666666666667,Low,Low,Low
Grape juice drink,6.0,5.17,0.1,0.0,Low,Low,Low
Orange juice beverage,0.0,5.42,0.0,10.0,Low,Low,Low
Hard cider,4.0,5.92,0.0,1.0,Medium,Low,Low
Whiskey and water,2.0,0.0,0.0,0.0,Low,Low,Low
Rum and diet cola,2.0,0.22,0.0,0.0,Low,Low,Low
Vodka and soda,4.0,0.0,0.0,0.0,Low,Low,Low
Sloe gin fizz,4.0,2.22,0.0,0.0,Low,Low,Low
Mai Tai,7.0,17.17,0.1,0.0,Medium,Low,Low
Frozen margarita,2.0,16.06,0.0,0.0,High,Low,Low
Sangria,6.0,8.26,0.0,0.0,Medium,Low,Low
Glug,9.0,6.24,0.1,0.0,Low,Low,Low
Tequila,0.0,0.0,0.0,0.0,Low,Low,Low
Nutritional powder mix (Kellogg's Special K20 Protein Water),115.0,58.4,37.5,2.0,Low,Low,High
Fluid replacement,6.5,1.2850000000000001,0.0,0.0,Low,Low,Low
Wheat bun as ingredient in sandwiches,194.0,46.3,4.8,26.0,Medium,Low,Medium
Vegetables as ingredient in curry,22.0,11.6,2.2,98.0,Low,Low,Low
Dill dip,82.33333333333333,6.826666666666667,0.3,63.0,Low,High,Low
Strawberry milk,123.14285714285714,10.212857142857144,0.028571428571428574,60.57142857142857,Medium,Low,Low
Milk shake with malt,131.0,13.66,0.2,63.0,Medium,Medium,Low
Cocoa powder,128.0,57.9,37.0,0.0,Low,Medium,High
Ice cream,126.625,28.87375,0.9375,105.375,High,Medium,Low
Soft serve,132.0,26.18,0.2,28.0,High,Medium,Low
Trifle,74.0,23.24,0.4,81.0,High,Medium,Low
Cheese souffle,192.0,6.29,0.1,179.0,Low,Medium,Medium
Alfredo sauce with added vegetables,54.0,2.32,0.3,131.0,Low,Medium,Low
Alfredo sauce with poultry,59.0,1.2,0.0,132.0,Low,Medium,Medium
Beer cheese soup,162.0,6.52,0.3,182.0,Low,Medium,Medium
Bacon or side pork,11.0,1.7,0.0,11.0,Low,High,High
Pork ears,20.0,0.0,0.0,2.0,Low,Medium,High
Veal chop,26.11111111111111,3.2955555555555556,0.08888888888888889,3.3333333333333335,Low,Medium,High
Armadillo,16.0,0.0,0.0,0.0,Low,Low,High
Wild pig,17.0,0.0,0.0,0.0,Low,Low,High
Kidney,19.0,0.0,0.0,0.0,Low,Low,High
Chitterlings,25.0,0.0,0.0,0.0,Low,High,Medium
Cod,32.95,5.871499999999999,0.31,23.4,Low,Low,High
Ocean perch,42.625,4.47,0.22499999999999998,15.375,Low,Low,High
Whiting,71.11764705882354,7.481764705882352,0.39999999999999997,51.23529411764706,Low,Medium,High
Beef with gravy,8.0,1.58,0.0,0.0,Low,Medium,High
Steak teriyaki,10.0,1.94,0.0,0.0,Low,Medium,High
Sweet and sour pork,31.0,17.82,0.9,10.0,Medium,Medium,Medium
Venison or deer with gravy,7.0,1.58,0.0,0.0,Low,Low,High
Fish with cream or white sauce,46.0,2.74,0.0,50.0,Low,Low,High
Crab imperial,87.0,3.2,0.2,76.0,Low,Medium,Medium
Fish timbale or mousse,43.0,1.76,0.0,116.0,Low,Medium,Medium
Shrimp cocktail,69.0,10.76,0.6,65.0,Low,Low,High
Spaghetti sauce with seafood and added vegetables,39.0,6.59,1.4,41.0,Low,Low,Medium
Meat with tomato-based sauce,9.0,1.58,0.4,6.0,Low,Medium,High
Stewed,17.333333333333332,3.7600000000000002,0.5666666666666668,5.0,Low,Medium,Medium
Beef and rice with tomato-based sauce,11.0,15.88,0.7,7.0,Low,Medium,Medium
Ham and rice with mushroom sauce,22.0,16.28,0.4,6.0,Low,Medium,Medium
Chicken or turkey and noodles with cheese sauce,97.0,13.56,0.6,28.0,Low,Medium,Medium
Chicken or turkey and rice with tomato-based sauce,12.0,15.66,0.6,8.0,Low,Medium,Medium
Tuna loaf,80.0,9.32,0.4,104.0,Low,Medium,High
Tuna and rice with mushroom sauce,22.0,15.39,0.4,8.0,Low,Medium,Low
Stewed salmon,131.0,8.47,1.3,12.0,Low,Medium,Medium
